student_id,age,gender,marital_status,course,attendance,admission_grade,previous_grade,scholarship,tuition_up_to_date,debtor,semester1_enrolled,semester1_approved,semester1_grade,semester2_enrolled,semester2_approved,semester2_grade,semester1_success_rate,semester2_success_rate,status
1,20,Male,Single,Animation & Design,Daytime,127.3,122.0,No,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Dropout
2,19,Male,Single,Tourism,Daytime,142.5,160.0,No,No,No,6,6,14.0,6,6,13.7,100.0,100.0,Graduate
3,19,Male,Single,Communication Design,Daytime,124.8,122.0,No,No,No,6,0,0.0,6,0,0.0,0.0,0.0,Dropout
4,20,Female,Single,Journalism,Daytime,119.6,122.0,No,Yes,No,6,6,13.4,6,5,12.4,100.0,83.3,Graduate
5,45,Female,Married,Social Service,Evening,141.5,100.0,No,Yes,No,6,5,12.3,6,6,13.0,83.3,100.0,Graduate
6,50,Male,Married,Management,Evening,114.8,133.1,No,Yes,Yes,5,5,11.9,5,5,11.5,100.0,100.0,Graduate
7,18,Female,Single,Nursing,Daytime,128.4,142.0,Yes,Yes,No,7,7,13.3,8,8,14.3,100.0,100.0,Graduate
8,22,Male,Single,Tourism,Daytime,113.1,119.0,No,No,No,5,0,0.0,5,0,0.0,0.0,0.0,Dropout
9,21,Female,Single,Social Service,Daytime,129.3,137.0,Yes,Yes,No,6,6,13.9,6,6,14.1,100.0,100.0,Graduate
10,18,Female,Single,Social Service,Daytime,123.0,138.0,No,No,Yes,6,5,11.4,6,2,13.5,83.3,33.3,Dropout
11,18,Female,Single,Marketing Management,Daytime,130.6,139.0,No,Yes,No,6,6,12.3,6,5,14.2,100.0,83.3,Graduate
12,18,Female,Single,Nursing,Daytime,119.3,136.0,Yes,Yes,No,8,7,13.2,8,7,13.2,87.5,87.5,Graduate
13,19,Female,Single,Basic Education,Daytime,130.2,133.0,No,Yes,No,6,0,0.0,6,0,0.0,0.0,0.0,Dropout
14,21,Female,Single,Tourism,Daytime,111.8,110.0,Yes,Yes,No,6,6,10.6,6,5,11.0,100.0,83.3,Graduate
15,18,Female,Single,Veterinary Nursing,Daytime,137.1,149.0,Yes,Yes,No,5,4,13.2,5,5,12.0,80.0,100.0,Graduate
16,20,Female,Single,Journalism,Daytime,120.7,127.0,No,Yes,No,6,5,13.2,6,0,0.0,83.3,0.0,Dropout
17,18,Female,Single,Social Service,Daytime,137.4,137.0,No,Yes,No,6,1,12.0,6,2,11.0,16.7,33.3,Enrolled
18,18,Female,Single,Nursing,Daytime,127.3,135.0,No,Yes,No,7,7,13.3,8,8,14.5,100.0,100.0,Graduate
19,20,Female,Single,Equinculture,Daytime,136.3,137.0,No,Yes,No,5,4,12.5,5,4,12.2,80.0,80.0,Graduate
20,18,Female,Single,Basic Education,Daytime,124.6,140.0,No,Yes,No,7,6,11.7,7,6,13.5,85.7,85.7,Enrolled
21,21,Female,Single,Animation & Design,Daytime,120.3,122.0,Yes,Yes,No,0,0,0.0,0,0,0.0,0.0,0.0,Graduate
22,20,Female,Single,Oral Hygiene,Daytime,121.8,127.0,No,Yes,No,7,7,11.4,8,8,11.4,100.0,100.0,Enrolled
23,18,Female,Single,Nursing,Daytime,125.5,142.0,No,Yes,No,8,7,12.9,8,7,12.9,87.5,87.5,Graduate
24,19,Female,Single,Marketing Management,Daytime,114.9,125.0,Yes,Yes,No,6,6,13.4,6,6,12.3,100.0,100.0,Graduate
25,19,Female,Single,Nursing,Daytime,123.9,126.0,No,Yes,No,7,6,13.3,8,7,14.1,85.7,87.5,Graduate
26,18,Female,Single,Social Service,Daytime,157.0,151.0,Yes,Yes,Yes,6,5,11.6,6,4,11.0,83.3,66.7,Enrolled
27,21,Female,Single,Social Service,Daytime,116.4,115.0,No,Yes,No,6,6,11.4,6,6,13.3,100.0,100.0,Graduate
28,18,Female,Single,Veterinary Nursing,Daytime,131.0,138.0,No,Yes,No,5,5,12.7,5,4,13.0,100.0,80.0,Enrolled
29,20,Female,Single,Management,Daytime,122.1,135.0,No,Yes,No,5,5,12.0,5,5,12.3,100.0,100.0,Graduate
30,19,Male,Single,Nursing,Daytime,118.8,127.0,No,Yes,No,7,6,12.9,7,6,13.7,85.7,85.7,Enrolled
31,21,Male,Single,Agronomy,Daytime,150.0,150.0,No,Yes,No,6,5,11.9,6,5,10.6,83.3,83.3,Enrolled
32,20,Male,Single,Communication Design,Daytime,130.0,125.0,No,Yes,No,6,6,12.8,6,4,13.4,100.0,66.7,Graduate
33,18,Male,Single,Management,Daytime,138.8,143.0,No,No,No,5,3,11.3,5,2,13.5,60.0,40.0,Enrolled
34,19,Female,Single,Social Service,Evening,134.5,138.0,No,Yes,No,6,6,12.7,6,6,14.4,100.0,100.0,Graduate
35,34,Male,Single,Management,Evening,131.4,130.0,No,Yes,No,5,5,12.4,5,5,13.4,100.0,100.0,Graduate
36,37,Male,Single,Biofuel Production,Daytime,102.5,130.0,No,No,Yes,7,0,0.0,7,1,10.0,0.0,14.3,Dropout
37,43,Male,Single,Informatics Engineering,Daytime,128.8,133.1,No,Yes,No,5,0,0.0,5,0,0.0,0.0,0.0,Dropout
38,55,Female,Single,Management,Daytime,122.9,140.0,No,Yes,No,5,1,10.0,5,2,12.0,20.0,40.0,Dropout
39,39,Female,Divorced,Management,Evening,113.9,120.0,No,Yes,No,5,5,11.0,5,5,11.6,100.0,100.0,Graduate
40,20,Female,Single,Equinculture,Daytime,120.0,120.0,No,No,Yes,6,3,11.7,6,3,12.0,50.0,50.0,Dropout
41,18,Female,Single,Journalism,Daytime,121.1,126.0,No,Yes,Yes,6,4,12.8,5,0,0.0,66.7,0.0,Dropout
42,22,Female,Single,Management,Daytime,120.4,133.0,No,Yes,No,5,5,14.8,5,5,15.8,100.0,100.0,Graduate
43,22,Female,Single,Nursing,Daytime,100.6,103.0,No,Yes,No,7,5,13.9,8,7,14.3,71.4,87.5,Graduate
44,20,Female,Single,Journalism,Daytime,121.4,120.0,No,No,No,6,4,13.0,6,5,13.8,66.7,83.3,Dropout
45,29,Female,Single,Management,Evening,109.7,133.1,No,Yes,No,5,0,0.0,5,0,0.0,0.0,0.0,Dropout
46,24,Female,Single,Management,Evening,134.1,154.0,No,Yes,No,5,2,11.5,5,3,14.3,40.0,60.0,Enrolled
