Event Id,Investigation Type,Accident Number,Event Date,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Aircraft Damage,Aircraft Category,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,FAR Description,Schedule,Purpose of Flight,Air Carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Report Status,Publication Date,
20130607X70213 , Accident , CEN13FA326 , 06/07/2013 ," Baker, LA ", United States ,30.576389,-91.136944,  ,  , Fatal(1) , Destroyed , Airplane , N510LD , HAWKER BEECHCRAFT , B200GT , No ,2, Turbo Prop , Part 91: General Aviation ,  , Personal ,  ,1.0,,,, VMC ,  , Preliminary , 06/14/2013 , 
20130607X04715 , Accident , ERA13FA273 , 06/06/2013 ," Manchester, KY ", United States ,37.132778,-83.756389,  ,  , Fatal(3) , Destroyed , Helicopter , N114AE , BELL HELICOPTER TEXTRON , 206L-1 , No ,1, Turbo Shaft , Part 91: General Aviation ,  , Positioning ,  ,3.0,,,, VMC ,  , Preliminary , 06/12/2013 , 
20130531X43432 , Accident , WPR13FA254B , 05/31/2013 ," Anthem, AZ ", United States ,33.864722,-112.201389, KDVT , Phoenix Deer Valley Airport , Fatal(4) , Destroyed , Airplane , N2459K , CESSNA , 172S , No ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,4.0,,,, VMC ,  , Preliminary , 06/10/2013 , 
20130531X43432 , Accident , WPR13FA254A , 05/31/2013 ," Anthem, AZ ", United States ,33.864722,-112.201389, KDVT , Phoenix Deer Valley Airport , Fatal(4) , Destroyed , Airplane , N327PA , PIPER , PA-28-181 , No ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,4.0,,,, VMC ,  , Preliminary , 06/10/2013 , 
20130530X14133 , Accident , CEN13WA307 , 05/29/2013 ," Gap Aerodrome, France ", France ,,,  ,  , Fatal(1) , Destroyed , Airplane , N68XM , PIPER , PA-28RT-201T , No ,1, Reciprocating , Unknown ,  ,  ,  ,1.0,,,,  ,  , Foreign , 06/04/2013 , 
20130528X64403 , Accident , WPR13FA244 , 05/28/2013 ," Mountainaire, AZ ", United States ,35.082778,-111.667778, FLG , Flagstaff Pulliam Airport , Fatal(2) , Destroyed , Airplane , N999PK , RAYTHEON AIRCRAFT COMPANY , A36 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2.0,,,, VMC ,  , Preliminary , 06/05/2013 , 
20130527X93911 , Accident , ERA13FA256 , 05/27/2013 ," Macon, GA ", United States ,32.663889,-83.603056,  ,  , Fatal(2) , Destroyed , Airplane , N4489F , PIPER , PA-32R-300 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2.0,,,, VMC ,  , Preliminary , 06/07/2013 , 
20130524X84708 , Accident , ERA13FA253 , 05/24/2013 ," Johnstown, NY ", United States ,43.040277,-74.517223,  ,  , Fatal(3) , Destroyed , Airplane , N31743 , PIPER , PA-34-200T , No ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,3.0,,,, VMC ,  , Preliminary , 06/04/2013 , 
20130525X61706 , Accident , CEN13FA295 , 05/24/2013 ," Cross Tmbers, MO ", United States ,38.039166,-93.288055,  ,  , Fatal(2) , Destroyed , Helicopter , N569BC , ROBINSON HELICOPTER COMPANY , R44 II , No ,1, Reciprocating , Part 91: General Aviation ,  , Aerial Observation ,  ,2.0,,,, VMC ,  , Preliminary , 05/30/2013 , 
20130529X13403 , Accident , CEN13WA300 , 05/23/2013 ," Babia Gora, Poland ", Poland ,49.583333,19.533333,  ,  , Fatal(3) , Destroyed , Airplane , SP-HIN , PIPER , PA-34 , No ,  ,  ," Non-U.S., Non-Commercial ",  , Personal ,  ,3.0,,,,  ,  , Foreign , 05/29/2013 , 
