"","SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_TYPE_SUITE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","REGION_POPULATION_RELATIVE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_REGISTRATION","DAYS_ID_PUBLISH","FLAG_MOBIL","FLAG_EMP_PHONE","FLAG_WORK_PHONE","FLAG_CONT_MOBILE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","REGION_RATING_CLIENT","REGION_RATING_CLIENT_W_CITY","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","REG_REGION_NOT_LIVE_REGION","REG_REGION_NOT_WORK_REGION","LIVE_REGION_NOT_WORK_REGION","REG_CITY_NOT_LIVE_CITY","REG_CITY_NOT_WORK_CITY","LIVE_CITY_NOT_WORK_CITY","ORGANIZATION_TYPE","EXT_SOURCE_2","EXT_SOURCE_3","FONDKAPREMONT_MODE","HOUSETYPE_MODE","WALLSMATERIAL_MODE","EMERGENCYSTATE_MODE","OBS_30_CNT_SOCIAL_CIRCLE","DEF_30_CNT_SOCIAL_CIRCLE","OBS_60_CNT_SOCIAL_CIRCLE","DEF_60_CNT_SOCIAL_CIRCLE","DAYS_LAST_PHONE_CHANGE","AMT_REQ_CREDIT_BUREAU_HOUR","AMT_REQ_CREDIT_BUREAU_DAY","AMT_REQ_CREDIT_BUREAU_WEEK","AMT_REQ_CREDIT_BUREAU_MON","AMT_REQ_CREDIT_BUREAU_QRT","AMT_REQ_CREDIT_BUREAU_YEAR","BASEMENTAREA_AVG","YEARS_BEGINEXPLUATATION_AVG","YEARS_BUILD_AVG","COMMONAREA_AVG","ELEVATORS_AVG","ENTRANCES_AVG","FLOORSMAX_AVG","FLOORSMIN_AVG","LANDAREA_AVG","LIVINGAPARTMENTS_AVG","LIVINGAREA_AVG","NONLIVINGAPARTMENTS_AVG","NONLIVINGAREA_AVG","APARTMENTS_MODE","BASEMENTAREA_MODE","YEARS_BUILD_MODE","YEARS_BEGINEXPLUATATION_MODE","COMMONAREA_MODE","ELEVATORS_MODE","FLOORSMIN_MODE","LIVINGAREA_MODE","APARTMENTS_MEDI","YEARS_BUILD_MEDI","ENTRANCES_MEDI","LANDAREA_MEDI","NONLIVINGAPARTMENTS_MEDI","NONLIVINGAREA_MEDI","FONDKAPREMONT_MODE.1","LIVINGAREA_MEDI","FLOORSMIN_MEDI","ELEVATORS_MEDI","YEARS_BEGINEXPLUATATION_MEDI","NONLIVINGAREA_MODE","LIVINGAPARTMENTS_MODE","FLOORSMAX_MODE","COMMONAREA_MODE.1","BASEMENTAREA_MODE.1","NONLIVINGAPARTMENTS_AVG.1","LANDAREA_AVG.1","ENTRANCES_AVG.1","YEARS_BUILD_AVG.1","APARTMENTS_AVG","EXT_SOURCE_1"
"251928",391498,0,"Cash loans","M","Y","N",0,450000,2695500,71235,2250000,"Unaccompanied","Commercial associate","Higher education","Single / not married","House / apartment",0.072508,-9358,-140,-4204,-487,1,1,0,1,1,0,"",1,1,1,"WEDNESDAY",20,0,0,0,0,0,0,"Business Entity Type 2",0.67524945551891,0.425892898005153,"reg oper account","block of flats","Panel","No",0,0,0,0,-219,0,0,0,0,0,0,0.1401,0.9806,0.7348,0.3001,0.24,0.2069,0.3333,0.375,0,0.1807,0.2086,0,0.0014,0.2258,0.1454,0.7452,0.9806,0.3029,0.2417,0.375,0.2174,0.2238,0.7383,0.2069,0,0,0.0015,"reg oper account",0.2124,0.375,0.24,0.9806,0.0015,0.1974,0.3333,0.3029,0.1454,0,0,0.2069,0.7348,0.2216,0.342769957418996
"152776",277067,0,"Cash loans","F","N","N",0,90000,810000,26257.5,810000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.019101,-16982,-607,-4584,-510,1,1,1,1,1,0,"Waiters/barmen staff",2,2,2,"WEDNESDAY",11,0,0,0,0,0,0,"Hotel",0.312144631600466,0.342528872074225,"","","Panel","No",0,0,0,0,-354,0,0,0,1,0,0,0.0274,0.9786,NA,NA,0,0.1379,0.1667,NA,NA,NA,0.0593,NA,0.0125,NA,0.0284,NA,0.9786,NA,0,NA,0.0618,NA,NA,0.1379,NA,NA,0.0128,"",0.0604,NA,0,0.9786,0.0133,NA,0.1667,NA,0.0284,NA,NA,0.1379,NA,NA,0.240067869461446
"67127",177846,0,"Cash loans","F","Y","Y",0,108000,263686.5,15138,238500,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.015221,-15692,-4133,-6628,-3904,1,1,1,1,1,0,"Accountants",2,2,2,"SUNDAY",7,0,0,0,0,0,0,"Self-employed",0.745989486199928,0.524496446363472,"","","","",3,1,3,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215279",349454,0,"Cash loans","M","Y","Y",1,315000,708939,43501.5,612000,"Unaccompanied","Working","Secondary / secondary special","Single / not married","House / apartment",0.003122,-15882,-6189,-5872,-5872,1,1,0,1,1,0,"Managers",2,3,3,"FRIDAY",16,0,0,0,0,0,0,"Business Entity Type 3",0.456795681700773,0.374020803258321,"","","","",3,0,2,0,-337,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108946",226362,0,"Cash loans","F","Y","Y",1,112500,136287,10894.5,103500,"Unaccompanied","Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",0.006008,-13195,-1264,-49,-2493,1,1,0,1,0,0,"",3,2,2,"WEDNESDAY",9,0,0,0,0,0,0,"Cleaning",0.655505809709366,0.100803706317533,"","","","",1,0,1,0,-937,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470867674231871
"42878",149639,0,"Cash loans","F","N","N",0,103500,675000,26901,675000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.026392,-23358,-1337,-8534,-4667,1,1,1,1,1,0,"Cleaning staff",2,2,2,"TUESDAY",9,0,0,0,0,0,0,"Business Entity Type 3",0.707986037133321,0.771361591919432,"","block of flats","Panel","No",0,0,0,0,-1915,0,0,0,6,2,0,NA,0.9881,NA,NA,0.2,0.1724,0.375,NA,NA,NA,0.2145,NA,0.0417,0.2101,NA,NA,0.9881,NA,0.2014,NA,0.2199,0.2082,NA,0.1724,NA,NA,0.0426,"",0.2184,NA,0.2,0.9881,0.0025,NA,0.375,NA,NA,NA,NA,0.1724,NA,0.2062,NA
"187429",317275,0,"Cash loans","F","N","Y",0,166500,239850,23494.5,225000,"Unaccompanied","Pensioner","Higher education","Married","House / apartment",0.003122,-24078,365243,-6524,-3980,1,0,0,1,0,0,"",2,3,3,"FRIDAY",16,0,0,0,0,0,0,"XNA",0.639496327838345,0.463275328091268,"","","","",0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66520",177142,0,"Cash loans","F","N","N",0,90000,781920,23836.5,675000,"Unaccompanied","Pensioner","Secondary / secondary special","Widow","House / apartment",0.009334,-23874,365243,-768,-4094,1,0,0,1,0,0,"",1,2,2,"SATURDAY",10,0,0,0,0,0,0,"XNA",0.504998459584517,0.538862706577968,"","block of flats","Panel","No",3,0,3,0,-758,0,0,0,0,0,2,0.1233,0.9921,NA,NA,0.16,0.1379,0.3471,NA,0.0175,NA,0.1665,NA,0.001,0.1134,0.1027,NA,0.9881,NA,0.1208,NA,0.1278,0.1593,NA,0.1379,0.0178,NA,0.001,"",0.1482,NA,0.16,0.9911,0.001,NA,0.3333,NA,0.1027,NA,0.0175,0.1379,NA,0.1515,NA
"105257",222134,0,"Cash loans","M","Y","Y",1,157500,254700,28867.5,225000,"Spouse, partner","Working","Secondary / secondary special","Married","House / apartment",0.00733,-19055,-2550,-1788,-2569,1,1,0,1,0,0,"Drivers",3,2,2,"THURSDAY",12,0,0,0,0,1,1,"Transport: type 3",0.280129530185728,0.644679454958596,"","","","",0,0,0,0,-268,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165038",291317,0,"Cash loans","F","N","Y",1,135000,536917.5,22702.5,463500,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.072508,-19131,-1774,-2243,-2689,1,1,0,1,1,0,"Laborers",3,1,1,"FRIDAY",18,0,0,0,0,0,0,"Other",0.61067010644967,0.131770132531381,"reg oper account","block of flats","Panel","No",0,0,0,0,-864,0,0,1,0,0,4,0.1249,0.9901,0.864,0.165,0.32,0.1379,0.5625,0.6042,0,0.1744,0.2598,0.0097,0.2122,0.1366,0.0496,0.8693,0.9901,0.1125,0.1611,0.5,0.1495,0.2186,0.8658,0.1379,0,0.0097,0.2166,"reg oper account",0.2645,0.6042,0.32,0.9901,0.2069,0.1175,0.4583,0.1125,0.0496,0.0097,0,0.1379,0.864,0.2165,NA
